"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Value","Indicator Value Units","Lower Confidence Interval","Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Value","Breakout Value Units","Breakout Lower Confidence Interval","Breakout Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94705,72519,dollars,67612,77426,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94705,69025,dollars,63606,74444,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94705,70499,dollars,64536,76462,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94705,68290,dollars,62866,73714,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,47251,dollars,45125,49377,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,45866,dollars,43365,48367,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,44477,dollars,41170,47784,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,42019,dollars,39204,44834,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,41223,dollars,38717,43729,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,40880,dollars,37579,44181,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,40404,dollars,37379,43429,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94706,38478,dollars,36439,40517,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,86585,dollars,78703,94467,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,78292,dollars,73353,83231,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,75943,dollars,71454,80432,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,73258,dollars,68175,78341,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,73028,dollars,68451,77605,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,70264,dollars,65486,75042,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,70806,dollars,66552,75060,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94707,67467,dollars,63044,71890,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,91816,dollars,84595,99037,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,88763,dollars,80514,97012,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,87033,dollars,80120,93946,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,81657,dollars,75592,87722,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,81517,dollars,75743,87291,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,78020,dollars,74024,82016,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,76569,dollars,71166,81972,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94708,73704,dollars,67916,79492,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,47547,dollars,43561,51533,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,45840,dollars,41763,49917,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,44271,dollars,41408,47134,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,41079,dollars,37806,44352,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,38501,dollars,35303,41699,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,36941,dollars,33987,39895,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,37588,dollars,34239,40937,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94709,36668,dollars,33344,39992,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,40417,dollars,36955,43879,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,40049,dollars,35353,44745,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,38088,dollars,34431,41745,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,33476,dollars,30351,36601,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,35918,dollars,31827,40009,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,34770,dollars,31206,38334,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,32941,dollars,29607,36275,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94710,27620,dollars,24545,30695,No,2007-2011,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,6509,dollars,3204,9814,No,2014-2018,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,9970,dollars,6610,13330,No,2013-2017,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,12529,dollars,8638,16420,No,2012-2016,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,13801,dollars,9276,18326,No,2011-2015,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,11189,dollars,7318,15060,No,2010-2014,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,11820,dollars,8237,15403,No,2009-2013,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,10301,dollars,5356,15246,No,2008-2012,"American Community Survey",,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",94720,6593,dollars,3854,9332,No,2007-2011,"American Community Survey",,,,,,,,,,
