DtCreate,Berkeley_LHJ,Under_Investigation,Known_Homeless,No_Address__May_Be_Homeless_,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,San_Leandro,Union_City,Eden_Area_MAC,Castro_Valley_MAC,Fairview_MAC,Remainder_of_County,F94501,F94502,F94536,F94538,F94539,F94541,F94542,F94544,F94545,F94546,F94550,F94551,F94552,F94555,F94560,F94566,F94568,F94577,F94578,F94579,F94580,F94587,F94588,F94601,F94602,F94603,F94605,F94606,F94607,F94608,F94609,F94610,F94611,F94612,F94618,F94619,F94621,F94702,F94703,F94704,F94705,F94706,F94707,F94708,F94709,F94710,ObjectId
2020/06/13 07:00:00+00,114,42,,,58,59,<10,33,14,224,768,61,124,1805,13,68,199,154,280,141,42,<10,49,10,66,93,34,309,34,499,115,104,35,28,18,29,124,39,91,107,134,38,77,154,29,571,63,246,158,136,62,46,15,33,52,24,<10,143,276,28,40,13,<10,12,<10,<10,<10,13,107
2020/06/14 07:00:00+00,114,50,,,58,62,<10,35,14,226,782,63,126,1837,13,68,205,156,286,148,43,<10,52,10,67,94,34,312,34,511,116,112,36,29,18,29,126,39,93,113,135,38,80,156,29,576,63,253,158,142,63,47,15,34,52,24,<10,147,283,28,40,13,<10,12,<10,<10,<10,13,108
2020/06/15 07:00:00+00,114,57,,,58,65,<10,35,14,227,806,68,127,1856,13,68,207,156,290,148,45,<10,55,10,68,94,34,315,35,532,117,112,38,32,18,29,127,39,93,114,135,39,84,156,29,581,63,260,158,144,65,47,15,34,52,25,<10,147,284,28,40,13,<10,12,<10,<10,<10,13,109
2020/06/16 07:00:00+00,115,58,,,59,66,<10,35,14,228,832,72,129,1882,13,69,210,159,300,148,49,<10,56,10,68,95,34,325,35,556,118,112,40,34,18,29,129,39,94,116,138,39,87,159,30,595,64,266,159,145,66,47,15,34,52,25,<10,147,286,28,41,13,<10,12,<10,<10,<10,13,110
2020/06/17 07:00:00+00,116,65,,,59,67,<10,36,14,232,844,90,130,1912,13,70,211,159,310,151,49,<10,57,10,70,96,34,333,35,566,119,115,51,41,18,30,130,40,95,117,140,39,88,159,30,600,64,273,160,149,66,47,15,34,52,25,<10,147,299,28,41,13,<10,12,<10,<10,<10,14,111
2020/06/18 07:00:00+00,118,70,,,59,67,<10,38,14,232,855,94,130,1927,13,72,212,162,312,151,49,<10,57,10,70,96,34,336,35,570,123,115,53,43,18,30,130,42,97,118,141,39,89,162,30,603,65,277,163,150,66,48,15,34,52,25,<10,147,301,28,41,14,<10,12,<10,<10,<10,14,112
2020/06/19 07:00:00+00,120,86,,,60,70,10,41,14,239,872,111,143,1978,13,77,221,165,322,158,50,<10,60,10,74,97,36,344,36,583,125,120,62,51,18,30,143,45,101,121,152,39,90,165,32,621,68,287,168,154,66,49,15,37,52,25,<10,149,306,28,41,16,<10,13,<10,<10,<10,14,113
2020/06/20 07:00:00+00,123,97,,,60,70,10,42,16,242,880,114,146,2036,13,80,229,166,325,161,61,<10,60,10,75,97,37,357,36,589,126,123,62,54,18,31,146,46,102,125,156,41,90,166,34,634,68,295,174,159,67,61,16,37,53,27,<10,149,317,30,41,16,<10,13,<10,<10,<10,14,114
2020/06/21 07:00:00+00,124,112,,,60,72,10,44,19,250,896,126,147,2123,13,83,243,174,332,164,62,<10,62,10,77,103,37,363,37,600,129,125,69,59,18,31,147,48,104,135,162,42,91,174,35,662,68,313,187,162,71,65,17,39,54,27,<10,152,330,30,41,16,<10,13,<10,<10,<10,15,115
2020/06/22 07:00:00+00,131,136,,,60,73,11,44,19,255,909,130,150,2165,13,83,249,177,339,166,63,<10,63,10,78,106,37,374,37,606,130,127,73,60,18,32,150,48,104,139,166,42,92,177,35,673,69,324,188,165,73,66,17,39,55,27,<10,159,333,31,44,17,10,14,<10,<10,<10,15,116
2020/06/23 07:00:00+00,135,148,,,60,76,11,44,19,259,913,131,152,2198,13,85,255,178,347,169,63,<10,66,10,79,108,37,381,37,609,130,130,74,60,18,33,152,49,104,141,171,42,93,178,36,680,69,331,188,168,74,67,17,39,55,27,10,162,343,31,45,19,10,14,<10,<10,<10,15,117
2020/06/24 07:00:00+00,138,150,,,60,79,11,45,19,262,930,134,153,2213,13,88,262,181,349,173,63,<10,69,10,79,110,37,386,37,618,133,134,76,61,18,34,153,51,105,146,173,42,95,181,37,682,70,333,189,170,75,68,17,39,55,27,10,162,348,31,46,20,10,14,<10,<10,<10,15,118
2020/06/25 07:00:00+00,140,156,,,60,81,11,46,19,270,950,149,158,2248,13,100,270,185,354,176,63,<10,71,10,85,112,37,392,41,628,136,136,85,67,18,34,158,56,106,149,178,43,96,185,44,690,70,337,191,173,80,68,17,40,55,29,10,162,358,31,46,21,10,14,<10,<10,<10,16,119
2020/06/26 07:00:00+00,144,187,,,60,81,11,47,19,273,952,152,159,2262,13,101,273,188,358,178,63,<10,71,10,86,114,37,395,41,629,136,137,87,68,19,34,159,56,107,150,181,43,97,188,45,697,71,337,191,175,82,68,17,41,55,29,10,163,358,32,46,21,11,14,<10,<10,<10,16,120
2020/06/27 07:00:00+00,146,236,,,60,82,11,49,20,276,969,154,160,2289,13,104,279,190,366,183,63,<10,71,11,86,116,37,405,42,639,137,142,87,70,19,35,159,57,109,152,186,44,98,190,47,705,71,338,194,175,89,69,17,41,55,30,10,164,364,32,46,22,12,14,<10,<10,<10,16,121
2020/06/28 07:00:00+00,147,265,,,60,84,11,53,23,284,980,169,160,2331,13,117,288,193,372,186,63,<10,73,11,93,116,38,409,44,644,139,144,97,75,19,35,159,59,113,155,191,47,101,193,57,720,72,347,198,176,91,75,17,41,56,30,10,164,369,32,46,22,12,14,<10,<10,<10,17,122
2020/06/29 07:00:00+00,151,265,,,60,86,13,53,23,290,987,169,162,2352,13,119,290,193,375,188,64,<10,75,11,98,116,39,409,47,648,140,145,97,75,20,35,161,59,113,156,193,47,103,193,59,723,73,351,199,180,91,75,19,41,57,31,11,164,372,32,47,23,13,16,<10,<10,<10,18,123
